ANO;COD_PAIS;TX_NATALIDADE_PER_MIL;%GASTO_PIB_SAUDE;TX_MORTALIDADE_PER_MIL;TX_FERTILIDADE_PER_MULHER;EXP_VIDA;DELTA_MIGRACAO;POP_TOTAL
2005;USA;14;0.65363973;8.3;2.057;77.4878048780488;1129462;295516599
2006;BRA;16.852;0.74211955;6.123;1.927;72.037;-34007;188820682
2006;USA;14.3;0.66477114;8.1;2.108;77.6878048780488;1113259;298379912
2007;BRA;16.372;0.78216791;6.119;1.881;72.365;-30331;190779453
2007;USA;14.3;0.717116;8;2.12;77.9878048780488;1108509;301231207
2008;BRA;15.943;0.84121162;6.106;1.842;72.715;-35373;192672317
2008;USA;14;0.76118088;8.1;2.072;78.0390243902439;1095864;304093966
2009;BRA;15.715;0.82504267;6.155;1.825;72.948;-29357;194517549
2009;USA;13.5;0.70491374;7.9;2.002;78.390243902439;1031010;306771529
2010;BRA;15.492;0.30873552;6.199;1.81;73.182;16843;196353492
2010;USA;13;0.68704522;7.995;1.931;78.5414634146342;1030731;309327143
2011;BRA;15.309;0.26323125;6.283;1.8;73.343;33631;198185302
2011;USA;12.7;0.7024169;8.073;1.8945;78.6414634146342;1322433;311583481
2012;BRA;14.939;0.30566427;6.34;1.767;73.552;43451;199977707
2012;USA;12.6;0.70865661;8.102;1.8805;78.7414634146342;1323368;313877662
2013;BRA;14.69;0.28242823;6.31;1.748;73.918;35308;201721767
2013;USA;12.4;0.69361621;8.215;1.8575;78.7414634146342;1320840;316059947
2014;BRA;14.753;0.37300894;6.272;1.767;74.306;24940;203459650
2014;USA;12.5;0.64768839;8.237;1.8625;78.8414634146342;1250914;318386329
2015;BRA;14.727;0.28954098;6.433;1.777;74.332;4764;205188205
2015;USA;12.4;0.64494258;8.44;1.8435;78.690243902439;1221849;320738994
2016;BRA;14.051;0.31721705;6.538;1.709;74.442;82589;206859578
2016;USA;12.2;0.63860589;8.493;1.8205;78.5390243902439;1449371;323071755
2017;BRA;14.159;0.25351468;6.493;1.736;74.827;56362;208504960
2017;USA;11.8;0.67145181;8.638;1.7655;78.5390243902439;1377630;325122128
2018;BRA;14.133;0.33637449;6.516;1.749;75.109;67934;210166592
2018;USA;11.6;0.66255105;8.678;1.7295;78.6390243902439;1200796;326838199
2019;BRA;13.633;0.29178557;6.572;1.703;75.338;69186;211782878
2019;USA;11.4;0.67703497;8.7;1.706;78.7878048780488;1158444;328329953
2020;BRA;13.078;;7.42;1.649;74.009;56880;213196304
2020;USA;10.9;;10.3;1.6375;77.2804878048781;675560;331501080
2021;BRA;;;;;;;214326223
2021;USA;;;;;;;331893745
